backend,idx,n_true,status,abs_dn,est_n
Bekker-UKF,40,0.7486448002433433,ok,0.15167732636274633,0.596967473880597
MLP,40,0.7486448002433433,ok,0.26799452198247375,0.4806502782608696
Fused-UKF,40,0.7486448002433433,ok,0.16751702225106524,0.5811277779922781
Bekker-UKF,41,0.7529774000810969,ok,0.13254104674776368,0.6204363533333332
NN-UKF,40,0.7486448002433433,ok,0.14294908803933604,0.6056957122040073
MLP,41,0.7529774000810969,ok,0.19539924638090722,0.5575781537001897
NN-UKF,41,0.7529774000810969,ok,0.14375570026525908,0.6092216998158378
Fused-UKF,41,0.7529774000810969,ok,0.1770882871103856,0.5758891129707113
Bekker-UKF,42,0.7577418225396273,ok,0.03785060879916924,0.7198912137404581
Fused-UKF,42,0.7577418225396273,ok,0.15769795486476912,0.6000438676748582
MLP,42,0.7577418225396273,ok,0.17793964785157035,0.579802174688057
NN-UKF,42,0.7577418225396273,ok,0.015013363824030956,0.7427284587155963
MLP,43,0.761172729598949,ok,0.21351105806610238,0.5476616715328466
Bekker-UKF,43,0.761172729598949,ok,0.11211327833541107,0.6490594512635379
MLP,44,0.7715574346459297,ok,0.0908507301414252,0.6807067045045045
Bekker-UKF,44,0.7715574346459297,ok,0.13380494635161533,0.6377524882943144
Fused-UKF,43,0.761172729598949,ok,0.13704250325386547,0.6241302263450835
NN-UKF,43,0.761172729598949,ok,0.05108919217092589,0.7100835374280231
NN-UKF,44,0.7715574346459297,ok,0.1526435929067993,0.6189138417391304
Bekker-UKF,45,0.7723102142913199,ok,0.11763868072241523,0.6546715335689046
Fused-UKF,44,0.7715574346459297,ok,0.11150760864210574,0.660049826003824
MLP,45,0.7723102142913199,ok,0.17167107744921462,0.6006391368421052
Fused-UKF,45,0.7723102142913199,ok,0.13128868732036536,0.6410215269709545
NN-UKF,45,0.7723102142913199,ok,0.04927552775285837,0.7230346865384615
Bekker-UKF,46,0.7793807501429315,ok,0.14931566896211967,0.6300650811808118
MLP,46,0.7793807501429315,ok,0.15298563749128502,0.6263951126516465
Fused-UKF,46,0.7793807501429315,ok,0.11227486948449517,0.6671058806584363
MLP,47,0.7845257712781847,ok,0.11896144519122809,0.6655643260869566
NN-UKF,46,0.7793807501429315,ok,0.14534778110832314,0.6340329690346084
Bekker-UKF,47,0.7845257712781847,ok,0.17814681127818477,0.6063789599999999
NN-UKF,47,0.7845257712781847,ok,0.17378991234961327,0.6107358589285714
Fused-UKF,47,0.7845257712781847,ok,0.10048934419485134,0.6840364270833333
NN-UKF,48,0.7917330165128188,ok,0.010692930080183127,0.8024259465930019
Bekker-UKF,48,0.7917330165128188,ok,0.09762690459946144,0.6941061119133574
Fused-UKF,48,0.7917330165128188,ok,0.1291798879683954,0.6625531285444234
MLP,48,0.7917330165128188,ok,0.2120321140737944,0.5797009024390244
MLP,49,0.7991240197289474,ok,0.20150584782506575,0.5976181719038817
NN-UKF,49,0.7991240197289474,ok,0.1506662924562202,0.6484577272727272
Bekker-UKF,49,0.7991240197289474,ok,0.09635023534233023,0.7027737843866172
Bekker-UKF,50,0.8043623795856376,ok,0.12106141383221292,0.6833009657534247
MLP,50,0.8043623795856376,ok,0.05347173230247426,0.8578341118881119
Fused-UKF,49,0.7991240197289474,ok,0.16412094504015085,0.6350030746887966
MLP,51,0.807756501178162,ok,0.14794034200861184,0.6598161591695502
NN-UKF,50,0.8043623795856376,ok,0.0548403359556201,0.7495220436300175
Fused-UKF,50,0.8043623795856376,ok,0.00405597462602536,0.808418354211663
NN-UKF,51,0.807756501178162,ok,0.17978631115896815,0.6279701900191939
Bekker-UKF,51,0.807756501178162,ok,0.15789955751619011,0.6498569436619719
Fused-UKF,51,0.807756501178162,ok,0.12341212862914241,0.6843443725490196
MLP,52,0.8125023916669617,ok,0.145420851984422,0.6670815396825397
Bekker-UKF,52,0.8125023916669617,ok,0.18504278827713116,0.6274596033898305
Fused-UKF,52,0.8125023916669617,ok,0.11502840191286334,0.6974739897540984
NN-UKF,52,0.8125023916669617,ok,0.15892804139472938,0.6535743502722323
MLP,53,0.8184625082575993,ok,0.15827664738803415,0.6601858608695651
